root-INFO-Importation des données
root-INFO-Impotation des données : SUCCESS
root-INFO-Division des données ...
root-INFO-Division des données : SUCCES
root-INFO-Analyse exploiratoire
root-INFO-Analyse exploiratoire des données : SUCCESS
root-INFO-Formation du model
matplotlib.font_manager-WARNING-findfont: Font family 'monsapce' not found.
matplotlib.font_manager-WARNING-findfont: Font family 'monsapce' not found.
matplotlib.font_manager-WARNING-findfont: Font family 'monsapce' not found.
matplotlib.font_manager-WARNING-findfont: Font family 'monsapce' not found.
matplotlib.font_manager-WARNING-findfont: Font family 'monsapce' not found.
matplotlib.font_manager-WARNING-findfont: Font family 'monsapce' not found.
matplotlib.font_manager-WARNING-findfont: Font family 'monsapce' not found.
matplotlib.font_manager-WARNING-findfont: Font family 'monsapce' not found.
matplotlib.font_manager-WARNING-findfont: Font family 'monsapce' not found.
matplotlib.font_manager-WARNING-findfont: Font family 'monsapce' not found.
matplotlib.font_manager-WARNING-findfont: Font family 'monsapce' not found.
matplotlib.font_manager-WARNING-findfont: Font family 'monsapce' not found.
matplotlib.font_manager-WARNING-findfont: Font family 'monsapce' not found.
matplotlib.font_manager-WARNING-findfont: Font family 'monsapce' not found.
matplotlib.font_manager-WARNING-findfont: Font family 'monsapce' not found.
matplotlib.font_manager-WARNING-findfont: Font family 'monsapce' not found.
matplotlib.font_manager-WARNING-findfont: Font family 'monsapce' not found.
matplotlib.font_manager-WARNING-findfont: Font family 'monsapce' not found.
matplotlib.font_manager-WARNING-findfont: Font family 'monsapce' not found.
matplotlib.font_manager-WARNING-findfont: Font family 'monsapce' not found.
matplotlib.font_manager-WARNING-findfont: Font family 'monsapce' not found.
matplotlib.font_manager-WARNING-findfont: Font family 'monsapce' not found.
matplotlib.font_manager-WARNING-findfont: Font family 'monsapce' not found.
matplotlib.font_manager-WARNING-findfont: Font family 'monsapce' not found.
matplotlib.font_manager-WARNING-findfont: Font family 'monsapce' not found.
matplotlib.font_manager-WARNING-findfont: Font family 'monsapce' not found.
matplotlib.font_manager-WARNING-findfont: Font family 'monsapce' not found.
matplotlib.font_manager-WARNING-findfont: Font family 'monsapce' not found.
matplotlib.font_manager-WARNING-findfont: Font family 'monsapce' not found.
matplotlib.font_manager-WARNING-findfont: Font family 'monsapce' not found.
matplotlib.font_manager-WARNING-findfont: Font family 'monsapce' not found.
matplotlib.font_manager-WARNING-findfont: Font family 'monsapce' not found.
matplotlib.font_manager-WARNING-findfont: Font family 'monsapce' not found.
matplotlib.font_manager-WARNING-findfont: Font family 'monsapce' not found.
matplotlib.font_manager-WARNING-findfont: Font family 'monsapce' not found.
matplotlib.font_manager-WARNING-findfont: Font family 'monsapce' not found.
matplotlib.font_manager-WARNING-findfont: Font family 'monsapce' not found.
matplotlib.font_manager-WARNING-findfont: Font family 'monsapce' not found.
matplotlib.font_manager-WARNING-findfont: Font family 'monsapce' not found.
matplotlib.font_manager-WARNING-findfont: Font family 'monsapce' not found.
matplotlib.font_manager-WARNING-findfont: Font family 'monsapce' not found.
matplotlib.font_manager-WARNING-findfont: Font family 'monsapce' not found.
matplotlib.font_manager-WARNING-findfont: Font family 'monsapce' not found.
matplotlib.font_manager-WARNING-findfont: Font family 'monsapce' not found.
matplotlib.font_manager-WARNING-findfont: Font family 'monsapce' not found.
matplotlib.font_manager-WARNING-findfont: Font family 'monsapce' not found.
matplotlib.font_manager-WARNING-findfont: Font family 'monsapce' not found.
matplotlib.font_manager-WARNING-findfont: Font family 'monsapce' not found.
matplotlib.font_manager-WARNING-findfont: Font family 'monsapce' not found.
matplotlib.font_manager-WARNING-findfont: Font family 'monsapce' not found.
root-INFO-Formation du model : SUCCESS
